ABB,Q52825
ABBV,Q14662364
AEP,Q464092
BA,Q66
BAC,Q487907
BBL,Q625713
BP,Q1049970
BUD,Q128738
C,Q219508
CAT,Q459965
CHL,Q741618
CVX,Q319642
D,Q677464
DHR,Q1159256
DIS,Q7414
EXC,Q1383669
GD,Q502940
GE,Q54173
HD,Q864407
HON,Q898208
HRG,Q147224
HSBC,Q190464
JNJ,Q333718
JPM,Q192314
KO,Q3295867
LMT,Q7240
MA,Q489921
MCD,Q38076
MMM,Q159433
MO,Q445007
MRK,Q247489
NGG,Q1465461
NVS,Q507154
ORCL,Q19900
PCG,Q1815011
PEP,Q334800
PFE,Q206921
PG,Q212405
PM,Q1852556
PPL,Q2044512
PTR,Q503182
SLB,Q1425316
SNP,Q831445
SNY,Q158205
T,Q35476
TM,Q53268
TOT,Q154037
TSM,Q713418
UN,Q157062
UPS,Q155026
UTX,Q1045758
V,Q328840
VZ,Q467752
WFC,Q744149
WMT,Q483551
XOM,Q156238
AAPL,Q312
AMGN,Q470517
AMZN,Q3884
CELG,Q842947
CMCSA,Q1113804
CSCO,Q173395
FB,Q380
GOOG,Q95
IEP,Q5985017
INTC,Q248
MSFT,Q2283
PCLN,Q18674747
