Loading dataset...

Epoch 0, batch 0, Loss: 0.9560191035270691, Accuracy: 0.5441176470588235
Epoch 1, batch 1, Loss: 1.5373884439468384, Accuracy: 0.5735294117647058
Epoch 2, batch 2, Loss: 1.5303043127059937, Accuracy: 0.3676470588235294
Epoch 3, batch 3, Loss: 0.7817760109901428, Accuracy: 0.6617647058823529
Epoch 4, batch 4, Loss: 1.2776968479156494, Accuracy: 0.5147058823529411

Epoch 5, batch 5, Loss: 0.9457229375839233, Accuracy: 0.5441176470588235
Epoch 6, batch 6, Loss: 0.8295129537582397, Accuracy: 0.5147058823529411
Epoch 7, batch 7, Loss: 0.73513263463974, Accuracy: 0.5882352941176471
Epoch 8, batch 8, Loss: 0.8102976083755493, Accuracy: 0.5588235294117647
Epoch 9, batch 9, Loss: 1.0105783939361572, Accuracy: 0.6617647058823529

Epoch 10, batch 10, Loss: 1.0255441665649414, Accuracy: 0.4852941176470588
Epoch 11, batch 11, Loss: 0.8212237358093262, Accuracy: 0.8235294117647058
Epoch 12, batch 12, Loss: 0.9123905897140503, Accuracy: 0.5882352941176471
Epoch 13, batch 13, Loss: 0.43551090359687805, Accuracy: 0.8088235294117647
Epoch 14, batch 14, Loss: 0.8224982619285583, Accuracy: 0.6470588235294118

Epoch 15, batch 15, Loss: 0.9504278898239136, Accuracy: 0.7058823529411764
Epoch 16, batch 16, Loss: 0.9077129364013672, Accuracy: 0.5441176470588235
Epoch 17, batch 17, Loss: 0.6036062836647034, Accuracy: 0.7647058823529411
Epoch 18, batch 18, Loss: 1.0367683172225952, Accuracy: 0.7058823529411764
Epoch 19, batch 19, Loss: 1.1767323017120361, Accuracy: 0.5

Epoch 20, batch 20, Loss: 0.825863778591156, Accuracy: 0.5588235294117647
Epoch 21, batch 21, Loss: 0.5965409874916077, Accuracy: 0.75
Epoch 22, batch 22, Loss: 0.9885453581809998, Accuracy: 0.47058823529411764
Epoch 23, batch 23, Loss: 0.5098336935043335, Accuracy: 0.75
Epoch 24, batch 24, Loss: 0.8180282115936279, Accuracy: 0.6029411764705882

Epoch 25, batch 25, Loss: 0.8618321418762207, Accuracy: 0.5147058823529411
Epoch 26, batch 26, Loss: 0.7854106426239014, Accuracy: 0.6764705882352942
Epoch 27, batch 27, Loss: 0.698453962802887, Accuracy: 0.5735294117647058
