Epoch 0, batch 0, Loss: 0.936939001083374, Accuracy: 0.5441176470588235
Epoch 1, batch 1, Loss: 1.5986969470977783, Accuracy: 0.5147058823529411
Epoch 2, batch 2, Loss: 1.5347288846969604, Accuracy: 0.3529411764705882
Epoch 3, batch 3, Loss: 0.8603999614715576, Accuracy: 0.5882352941176471
Epoch 4, batch 4, Loss: 1.2328004837036133, Accuracy: 0.5441176470588235
Epoch 5, batch 5, Loss: 1.0507071018218994, Accuracy: 0.5588235294117647
Epoch 6, batch 6, Loss: 0.9256188273429871, Accuracy: 0.5441176470588235
Epoch 7, batch 7, Loss: 0.810584545135498, Accuracy: 0.6764705882352942
Epoch 8, batch 8, Loss: 0.7179597616195679, Accuracy: 0.5882352941176471
Epoch 9, batch 9, Loss: 0.8555666208267212, Accuracy: 0.6911764705882353
Epoch 10, batch 10, Loss: 1.183878779411316, Accuracy: 0.5294117647058824
Epoch 11, batch 11, Loss: 0.9028611183166504, Accuracy: 0.6911764705882353
Epoch 12, batch 12, Loss: 1.0238521099090576, Accuracy: 0.45588235294117646
Epoch 13, batch 13, Loss: 0.3509732484817505, Accuracy: 0.8676470588235294
Epoch 14, batch 14, Loss: 0.8505616188049316, Accuracy: 0.5882352941176471
Epoch 15, batch 15, Loss: 0.6056045889854431, Accuracy: 0.6617647058823529
Epoch 16, batch 16, Loss: 0.8574213981628418, Accuracy: 0.5
Epoch 17, batch 17, Loss: 0.6456001400947571, Accuracy: 0.7058823529411764
Epoch 18, batch 18, Loss: 0.7870177626609802, Accuracy: 0.6323529411764706
Epoch 19, batch 19, Loss: 0.9116297960281372, Accuracy: 0.5882352941176471
Epoch 20, batch 20, Loss: 0.9405569434165955, Accuracy: 0.5294117647058824
Epoch 21, batch 21, Loss: 0.5507156848907471, Accuracy: 0.75
Epoch 22, batch 22, Loss: 0.949634313583374, Accuracy: 0.4117647058823529
Epoch 23, batch 23, Loss: 0.5523207783699036, Accuracy: 0.7205882352941176
Epoch 24, batch 24, Loss: 0.8887463808059692, Accuracy: 0.6029411764705882
Epoch 25, batch 25, Loss: 0.7661362290382385, Accuracy: 0.5588235294117647
Epoch 26, batch 26, Loss: 0.8365645408630371, Accuracy: 0.5882352941176471
Epoch 27, batch 27, Loss: 0.6575838923454285, Accuracy: 0.6470588235294118
Epoch 28, batch 28, Loss: 0.7902846336364746, Accuracy: 0.6323529411764706
Epoch 29, batch 29, Loss: 0.6569266319274902, Accuracy: 0.7058823529411764
Epoch 30, batch 30, Loss: 0.6735782623291016, Accuracy: 0.5882352941176471
Epoch 31, batch 31, Loss: 1.0591497421264648, Accuracy: 0.6323529411764706
Epoch 32, batch 32, Loss: 0.736190676689148, Accuracy: 0.5882352941176471
Epoch 33, batch 33, Loss: 0.6834290623664856, Accuracy: 0.6029411764705882
Epoch 34, batch 34, Loss: 0.8342537879943848, Accuracy: 0.6323529411764706
Epoch 35, batch 35, Loss: 0.8355897068977356, Accuracy: 0.5735294117647058
Epoch 36, batch 36, Loss: 0.5592026114463806, Accuracy: 0.7058823529411764
Epoch 37, batch 37, Loss: 0.46609926223754883, Accuracy: 0.7941176470588235
Epoch 38, batch 38, Loss: 0.5934671759605408, Accuracy: 0.6764705882352942
Epoch 39, batch 39, Loss: 0.6890551447868347, Accuracy: 0.6176470588235294
Epoch 40, batch 40, Loss: 0.8763151168823242, Accuracy: 0.5147058823529411
Epoch 41, batch 41, Loss: 0.9081547856330872, Accuracy: 0.5294117647058824
Epoch 42, batch 42, Loss: 0.917201042175293, Accuracy: 0.6323529411764706
Epoch 43, batch 43, Loss: 1.0931147336959839, Accuracy: 0.5
Epoch 44, batch 44, Loss: 0.62271648645401, Accuracy: 0.7647058823529411
