Loading dataset...

Epoch 0, batch 0, Loss: 0.8682090640068054, Accuracy: 0.5735294117647058
Epoch 1, batch 1, Loss: 1.4184613227844238, Accuracy: 0.5
Epoch 2, batch 2, Loss: 1.734661340713501, Accuracy: 0.38235294117647056
Epoch 3, batch 3, Loss: 0.9415966272354126, Accuracy: 0.6470588235294118
Epoch 4, batch 4, Loss: 1.399698257446289, Accuracy: 0.6323529411764706

Epoch 5, batch 5, Loss: 1.3916558027267456, Accuracy: 0.5735294117647058
Epoch 6, batch 6, Loss: 1.4864873886108398, Accuracy: 0.5147058823529411
Epoch 7, batch 7, Loss: 1.387162208557129, Accuracy: 0.4411764705882353
Epoch 8, batch 8, Loss: 0.9515233039855957, Accuracy: 0.5882352941176471
Epoch 9, batch 9, Loss: 0.7901971340179443, Accuracy: 0.6764705882352942

Epoch 10, batch 10, Loss: 2.145211935043335, Accuracy: 0.39705882352941174
Epoch 11, batch 11, Loss: 0.9027541279792786, Accuracy: 0.6764705882352942
Epoch 12, batch 12, Loss: 0.8530497550964355, Accuracy: 0.5735294117647058
Epoch 13, batch 13, Loss: 0.6168988943099976, Accuracy: 0.7647058823529411
Epoch 14, batch 14, Loss: 1.081761360168457, Accuracy: 0.6764705882352942

Epoch 15, batch 15, Loss: 0.9274664521217346, Accuracy: 0.5882352941176471
Epoch 16, batch 16, Loss: 1.1500158309936523, Accuracy: 0.47058823529411764
Epoch 17, batch 17, Loss: 0.5409671664237976, Accuracy: 0.7794117647058824
Epoch 18, batch 18, Loss: 0.6632604598999023, Accuracy: 0.5735294117647058
Epoch 19, batch 19, Loss: 1.2430044412612915, Accuracy: 0.39705882352941174

Epoch 20, batch 20, Loss: 1.1409605741500854, Accuracy: 0.5735294117647058
Epoch 21, batch 21, Loss: 0.7291961908340454, Accuracy: 0.6617647058823529
Epoch 22, batch 22, Loss: 1.105754017829895, Accuracy: 0.39705882352941174
Epoch 23, batch 23, Loss: 0.7064483165740967, Accuracy: 0.7352941176470588
Epoch 24, batch 24, Loss: 0.7514793872833252, Accuracy: 0.6323529411764706

Epoch 25, batch 25, Loss: 0.7704391479492188, Accuracy: 0.5441176470588235
Epoch 26, batch 26, Loss: 0.8243853449821472, Accuracy: 0.6617647058823529
Epoch 27, batch 27, Loss: 0.6341335773468018, Accuracy: 0.6176470588235294
Epoch 28, batch 28, Loss: 0.654994785785675, Accuracy: 0.6617647058823529
Epoch 29, batch 29, Loss: 0.5715897679328918, Accuracy: 0.7205882352941176

Epoch 30, batch 30, Loss: 0.8789620399475098, Accuracy: 0.4852941176470588
Epoch 31, batch 31, Loss: 0.8858038187026978, Accuracy: 0.5882352941176471
Epoch 32, batch 32, Loss: 0.8929418325424194, Accuracy: 0.6911764705882353
Epoch 33, batch 33, Loss: 0.6175456643104553, Accuracy: 0.6617647058823529
Epoch 34, batch 34, Loss: 0.8608105182647705, Accuracy: 0.7352941176470588

Epoch 35, batch 35, Loss: 0.9575569033622742, Accuracy: 0.5588235294117647
Epoch 36, batch 36, Loss: 0.6772065162658691, Accuracy: 0.75
Epoch 37, batch 37, Loss: 0.5914850831031799, Accuracy: 0.75
Epoch 38, batch 38, Loss: 0.6873131990432739, Accuracy: 0.7058823529411764
Epoch 39, batch 39, Loss: 0.6612116694450378, Accuracy: 0.6323529411764706

Epoch 40, batch 40, Loss: 0.8858399391174316, Accuracy: 0.6323529411764706
Epoch 41, batch 41, Loss: 0.8568714261054993, Accuracy: 0.5
Epoch 42, batch 42, Loss: 1.2841911315917969, Accuracy: 0.6764705882352942
Epoch 43, batch 43, Loss: 1.440005898475647, Accuracy: 0.4852941176470588
Epoch 44, batch 44, Loss: 0.9376974105834961, Accuracy: 0.7352941176470588

Epoch 45, batch 45, Loss: 0.7901067733764648, Accuracy: 0.6029411764705882
Epoch 46, batch 46, Loss: 0.6538844108581543, Accuracy: 0.6029411764705882
Epoch 47, batch 47, Loss: 0.7948423027992249, Accuracy: 0.6617647058823529
Epoch 48, batch 48, Loss: 0.8257642388343811, Accuracy: 0.7058823529411764
Epoch 49, batch 49, Loss: 1.1644926071166992, Accuracy: 0.6470588235294118

Epoch 50, batch 50, Loss: 1.0201869010925293, Accuracy: 0.6911764705882353
Epoch 51, batch 51, Loss: 0.707307755947113, Accuracy: 0.7058823529411764
Epoch 52, batch 52, Loss: 0.711716890335083, Accuracy: 0.6764705882352942
Epoch 53, batch 53, Loss: 0.6189365386962891, Accuracy: 0.7352941176470588
Epoch 54, batch 54, Loss: 0.7476849555969238, Accuracy: 0.5882352941176471

Epoch 55, batch 55, Loss: 0.617764413356781, Accuracy: 0.5735294117647058
Epoch 56, batch 56, Loss: 0.8502978086471558, Accuracy: 0.7205882352941176
