Streaming output truncated to the last 5000 lines.
Epoch 3, Loss: 0.6853399276733398, Accuracy: 0.5735294117647058
Epoch 4, Loss: 0.6943868398666382, Accuracy: 0.5882352941176471
Epoch 5, Loss: 0.727712094783783, Accuracy: 0.5882352941176471
Epoch 6, Loss: 0.6906686425209045, Accuracy: 0.6323529411764706
Epoch 7, Loss: 0.6367831230163574, Accuracy: 0.7941176470588235
Epoch 8, Loss: 0.680626392364502, Accuracy: 0.6323529411764706
Epoch 9, Loss: 0.7420529127120972, Accuracy: 0.6617647058823529
Epoch 10, Loss: 0.740900993347168, Accuracy: 0.4264705882352941
Epoch 11, Loss: 0.7043076753616333, Accuracy: 0.3676470588235294
Epoch 12, Loss: 0.6437498331069946, Accuracy: 0.6911764705882353
Epoch 13, Loss: 0.705511212348938, Accuracy: 0.5294117647058824
Epoch 14, Loss: 0.7369664311408997, Accuracy: 0.4264705882352941
Epoch 15, Loss: 0.6605575680732727, Accuracy: 0.5294117647058824
Epoch 16, Loss: 0.7636722922325134, Accuracy: 0.38235294117647056
Epoch 17, Loss: 0.6150175333023071, Accuracy: 0.8088235294117647
Epoch 18, Loss: 0.6737951636314392, Accuracy: 0.7058823529411764
Epoch 19, Loss: 0.7153053879737854, Accuracy: 0.4852941176470588
Epoch 20, Loss: 0.7514339685440063, Accuracy: 0.3676470588235294
Epoch 21, Loss: 0.770164966583252, Accuracy: 0.22058823529411764
Epoch 22, Loss: 0.5833368301391602, Accuracy: 0.8235294117647058
Epoch 23, Loss: 0.6315855979919434, Accuracy: 0.7205882352941176
Epoch 24, Loss: 0.7636232376098633, Accuracy: 0.29411764705882354
Epoch 25, Loss: 0.7960278987884521, Accuracy: 0.5147058823529411
Epoch 26, Loss: 0.6680619716644287, Accuracy: 0.6470588235294118
Epoch 27, Loss: 0.6459481120109558, Accuracy: 0.5882352941176471
Epoch 28, Loss: 0.7506694793701172, Accuracy: 0.3529411764705882
Epoch 29, Loss: 0.6954864263534546, Accuracy: 0.5441176470588235
Epoch 30, Loss: 0.7011359930038452, Accuracy: 0.6029411764705882
Epoch 31, Loss: 0.6344627737998962, Accuracy: 0.6764705882352942
Epoch 32, Loss: 0.6441751718521118, Accuracy: 0.6323529411764706
Epoch 33, Loss: 0.6721542477607727, Accuracy: 0.6470588235294118
Epoch 34, Loss: 0.7561242580413818, Accuracy: 0.5147058823529411
Epoch 35, Loss: 0.6980413794517517, Accuracy: 0.4852941176470588
Epoch 36, Loss: 0.6164077520370483, Accuracy: 0.6911764705882353
Epoch 37, Loss: 0.669814944267273, Accuracy: 0.6029411764705882
Epoch 38, Loss: 0.629230260848999, Accuracy: 0.6617647058823529
Epoch 39, Loss: 0.6849493980407715, Accuracy: 0.6470588235294118
Epoch 40, Loss: 0.6668975949287415, Accuracy: 0.6176470588235294
Epoch 41, Loss: 0.7163453102111816, Accuracy: 0.6470588235294118
Epoch 42, Loss: 0.5261616706848145, Accuracy: 0.8382352941176471
Epoch 43, Loss: 0.7097713351249695, Accuracy: 0.5588235294117647
Epoch 44, Loss: 0.6501427292823792, Accuracy: 0.6911764705882353
